REGISTERED VOTERS PER POLLING STATION FOR THE 2022 GENERAL ELECTION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
049,PRISONS,292,PRISONS,1451,PRISONS,052,THIKA WOMEN PRISON,049292145105201,THIKA WOMEN PRISON,5
049,PRISONS,292,PRISONS,1451,PRISONS,053,RUIRU PRISON,049292145105301,RUIRU PRISON,51
049,PRISONS,292,PRISONS,1451,PRISONS,054,KIAMBU PRISON,049292145105401,KIAMBU PRISON,90
049,PRISONS,292,PRISONS,1451,PRISONS,056,KAPENGURIA,049292145105601,KAPENGURIA,16
049,PRISONS,292,PRISONS,1451,PRISONS,057,MARALAL,049292145105701,MARALAL,38
049,PRISONS,292,PRISONS,1451,PRISONS,058,KITALE MEDIUM,049292145105801,KITALE MEDIUM,21
049,PRISONS,292,PRISONS,1451,PRISONS,059,KITALE ANNEX,049292145105901,KITALE ANNEX,36
049,PRISONS,292,PRISONS,1451,PRISONS,060,KITALE WOMEN,049292145106001,KITALE WOMEN,16
049,PRISONS,292,PRISONS,1451,PRISONS,061,KITALE MAIN PRISON (B),049292145106101,KITALE MAIN PRISON (B),1 76
049,PRISONS,292,PRISONS,1451,PRISONS,062,ELDORET WOMEN,049292145106201,ELDORET WOMEN,5
049,PRISONS,292,PRISONS,1451,PRISONS,063,ELDORET MAIN,049292145106301,ELDORET MAIN,1 24
049,PRISONS,292,PRISONS,1451,PRISONS,064,NGERIA FARM,049292145106401,NGERIA FARM,50
049,PRISONS,292,PRISONS,1451,PRISONS,065,TAMBACH PRISON,049292145106501,TAMBACH PRISON,20
049,PRISONS,292,PRISONS,1451,PRISONS,066,KAPSABET PRISON,049292145106601,KAPSABET PRISON,105
049,PRISONS,292,PRISONS,1451,PRISONS,067,KABARNET PRISON,049292145106701,KABARNET PRISON,29
049,PRISONS,292,PRISONS,1451,PRISONS,068,ELDAMA RAVINE PRISON,049292145106801,ELDAMA RAVINE PRISON,25
049,PRISONS,292,PRISONS,1451,PRISONS,069,RUMURUTI,049292145106901,RUMURUTI,36
049,PRISONS,292,PRISONS,1451,PRISONS,070,T/FALL PRISON,049292145107001,T/FALL PRISON,76
049,PRISONS,292,PRISONS,1451,PRISONS,071,T/FALL WOMEN,049292145107101,T/FALL WOMEN,9
049,PRISONS,292,PRISONS,1451,PRISONS,072,NANYUKI PRISON,049292145107201,NANYUKI PRISON,140
049,PRISONS,292,PRISONS,1451,PRISONS,073,NAIVASHA MAIN,049292145107301,NAIVASHA MAIN,390
049,PRISONS,292,PRISONS,1451,PRISONS,074,NAIVASHA MEDIUM,049292145107401,NAIVASHA MEDIUM,75
049,PRISONS,292,PRISONS,1451,PRISONS,075,NAIVASHA WOMEN,049292145107501,NAIVASHA WOMEN,13
049,PRISONS,292,PRISONS,1451,PRISONS,076,NAKURU MAIN,049292145107601,NAKURU MAIN,171
049,PRISONS,292,PRISONS,1451,PRISONS,077,NAKURU WOMEN,049292145107701,NAKURU WOMEN,10
049,PRISONS,292,PRISONS,1451,PRISONS,078,NAROK PRISON,049292145107801,NAROK PRISON,56
049,PRISONS,292,PRISONS,1451,PRISONS,079,KAJIADO PRISON,049292145107901,KAJIADO PRISON,43
049,PRISONS,292,PRISONS,1451,PRISONS,080,ATHIR RIVER PRISON,049292145108001,ATHIR RIVER PRISON,70
049,PRISONS,292,PRISONS,1451,PRISONS,082,KERICHO MAIN,049292145108201,KERICHO MAIN,46
049,PRISONS,292,PRISONS,1451,PRISONS,084,KERICHO ANNEX,049292145108401,KERICHO ANNEX,13
049,PRISONS,292,PRISONS,1451,PRISONS,085,SOTIK PRISON,049292145108501,SOTIK PRISON,17
049,PRISONS,292,PRISONS,1451,PRISONS,086,BOMET PRISON,049292145108601,BOMET PRISON,21
049,PRISONS,292,PRISONS,1451,PRISONS,087,KAKAMEGA MAIN,049292145108701,KAKAMEGA MAIN,1 35
049,PRISONS,292,PRISONS,1451,PRISONS,088,KAKAMEGA WOMEN,049292145108801,KAKAMEGA WOMEN,8
049,PRISONS,292,PRISONS,1451,PRISONS,089,SHIKUSA FARM,049292145108901,SHIKUSA FARM,15
